"timeCount","Rem2","Rem3","Rem1"
1.0,50,50,50
2.0,50,50,50
3.0,50,50,50
4.0,50,50,50
5.0,50,50,50
6.0,50,50,50
7.0,50,50,50
8.0,50,50,50
9.0,50,50,50
10.0,50,50,50
11.0,50,50,50
12.0,50,50,50
13.0,48,50,50
14.0,45,50,50
15.0,43,50,50
16.0,41,50,50
17.0,39,50,50
18.0,39,50,50
19.0,39,49,50
20.0,39,48,50
21.0,38,47,50
22.0,37,45,50
23.0,36,43,50
24.0,35,41,50
25.0,35,41,48
26.0,35,41,48
27.0,34,41,47
28.0,34,40,46
29.0,33,40,45
30.0,32,40,45
31.0,32,40,45
32.0,32,40,45
33.0,30,40,44
34.0,30,40,42
35.0,30,39,40
36.0,30,39,40
37.0,29,38,39
38.0,27,36,38
39.0,25,35,37
40.0,23,33,36
41.0,23,33,35
42.0,23,33,34
43.0,23,32,33
44.0,23,31,33
45.0,23,30,32
46.0,23,29,32
47.0,23,29,32
48.0,23,29,32
49.0,23,29,32
50.0,23,26,32
51.0,23,26,32
52.0,23,26,32
53.0,23,26,32
54.0,23,25,32
55.0,23,24,32
56.0,23,23,32
57.0,23,23,32
58.0,23,22,32
59.0,22,22,32
60.0,22,22,32
61.0,22,22,32
62.0,22,22,32
63.0,22,22,32
64.0,21,22,32
65.0,21,22,32
66.0,21,22,32
67.0,20,22,32
68.0,20,21,32
69.0,19,21,32
70.0,19,21,32
71.0,19,20,32
72.0,19,20,32
73.0,19,20,32
74.0,19,20,32
75.0,19,19,32
76.0,19,19,32
77.0,19,19,32
78.0,19,17,31
79.0,19,16,31
80.0,19,16,31
81.0,19,16,31
82.0,19,16,31
83.0,19,16,30
84.0,19,16,30
85.0,19,16,30
86.0,19,16,29
87.0,19,16,29
88.0,19,16,29
89.0,19,16,29
90.0,18,16,29
91.0,18,16,29
92.0,18,16,29
93.0,18,16,29
94.0,18,16,29
95.0,16,16,29
96.0,15,16,29
97.0,15,16,29
98.0,15,16,29
99.0,15,16,29
100.0,15,16,29
101.0,15,16,29
102.0,14,16,29
103.0,13,16,29
104.0,13,16,29
105.0,13,16,28
106.0,13,15,24
107.0,13,14,23
108.0,12,14,22
109.0,12,14,20
110.0,12,14,20
111.0,12,13,19
112.0,12,12,19
113.0,12,12,19
114.0,12,12,19
115.0,12,12,19
116.0,12,10,19
117.0,12,10,19
118.0,12,10,19
119.0,12,10,19
120.0,12,10,18
121.0,12,10,17
122.0,12,10,17
123.0,12,10,17
124.0,12,10,17
125.0,12,10,16
126.0,12,10,15
127.0,12,10,15
128.0,12,10,15
129.0,12,9,15
130.0,12,8,15
131.0,12,8,15
132.0,12,7,14
133.0,12,7,13
134.0,11,7,11
135.0,11,7,11
136.0,11,7,11
137.0,11,7,11
138.0,11,7,11
139.0,11,6,11
140.0,11,6,11
141.0,11,5,11
142.0,11,5,11
143.0,11,5,11
144.0,11,5,11
145.0,11,5,11
146.0,11,5,11
147.0,11,5,11
148.0,11,5,11
149.0,11,5,11
150.0,11,5,11
151.0,10,5,11
152.0,10,5,11
153.0,10,5,11
154.0,10,5,11
155.0,10,5,10
156.0,10,5,9
157.0,10,5,9
158.0,10,5,9
159.0,9,5,8
160.0,9,5,8
161.0,9,5,8
162.0,9,4,8
163.0,9,4,8
164.0,9,4,8
165.0,9,4,8
166.0,9,4,8
167.0,9,4,8
168.0,9,4,8
169.0,9,4,8
170.0,9,3,8
171.0,9,3,8
172.0,9,3,8
173.0,9,3,8
174.0,9,3,8
175.0,9,3,8
176.0,9,3,7
177.0,9,3,6
178.0,9,3,5
179.0,9,3,5
180.0,9,3,5
181.0,9,3,5
182.0,9,3,5
183.0,8,2,5
184.0,8,2,5
185.0,8,1,5
186.0,8,1,5
187.0,8,1,5
188.0,8,1,5
189.0,8,1,5
190.0,7,1,4
191.0,7,1,4
192.0,7,1,3
193.0,7,1,3
194.0,7,1,1
195.0,7,0,1
196.0,6,0,1
197.0,6,0,1
198.0,5,0,1
199.0,3,0,1
200.0,3,0,1
201.0,3,0,1
202.0,3,0,1
203.0,3,0,1
204.0,3,0,1
205.0,2,0,1
206.0,2,0,1
207.0,2,0,1
208.0,2,0,1
209.0,2,0,1
210.0,2,0,1
211.0,2,0,1
212.0,2,0,1
213.0,2,0,1
214.0,2,0,1
215.0,2,0,1
216.0,2,0,1
217.0,2,0,1
218.0,2,0,1
219.0,2,0,1
220.0,2,0,1
221.0,2,0,1
222.0,2,0,1
223.0,2,0,1
224.0,2,0,1
225.0,2,0,1
226.0,2,0,1
227.0,2,0,1
228.0,2,0,1
229.0,2,0,1
230.0,2,0,1
231.0,2,0,1
232.0,2,0,1
233.0,2,0,1
234.0,2,0,1
235.0,2,0,1
236.0,2,0,1
237.0,2,0,1
238.0,2,0,1
239.0,2,0,1
240.0,1,0,0
241.0,1,0,0
242.0,1,0,0
243.0,1,0,0
244.0,1,0,0
245.0,1,0,0
