"timestamp","Motes Outside"
1.0,0
2.0,0
3.0,0
4.0,0
5.0,0
6.0,0
7.0,0
8.0,0
9.0,0
10.0,0
11.0,0
12.0,0
13.0,0
14.0,0
15.0,0
16.0,0
17.0,0
18.0,0
19.0,0
20.0,0
21.0,0
22.0,0
23.0,0
24.0,0
25.0,0
26.0,0
27.0,0
28.0,0
29.0,0
30.0,2
31.0,3
32.0,5
33.0,6
34.0,7
35.0,8
36.0,9
37.0,14
38.0,15
39.0,15
40.0,16
41.0,23
42.0,26
43.0,25
44.0,27
45.0,25
46.0,30
47.0,34
48.0,37
49.0,44
50.0,40
51.0,45
52.0,47
53.0,54
54.0,53
55.0,55
56.0,57
57.0,56
58.0,57
59.0,56
60.0,56
61.0,59
62.0,63
63.0,65
64.0,71
65.0,66
66.0,71
67.0,72
68.0,74
69.0,74
70.0,78
71.0,82
72.0,82
73.0,85
74.0,89
75.0,90
76.0,95
77.0,93
78.0,94
79.0,98
80.0,98
81.0,96
82.0,101
83.0,102
84.0,105
85.0,107
