"Tick","C"
2.0,1
3.0,13
4.0,17
5.0,23
6.0,25
7.0,30
8.0,35
9.0,39
10.0,46
11.0,48
12.0,52
13.0,56
14.0,60
15.0,64
16.0,68
17.0,70
18.0,71
19.0,73
20.0,73
21.0,74
22.0,78
23.0,80
24.0,82
25.0,85
26.0,85
27.0,87
28.0,88
29.0,90
30.0,91
31.0,93
32.0,95
33.0,97
34.0,98
35.0,99
36.0,103
37.0,106
38.0,106
39.0,108
40.0,113
41.0,113
42.0,113
43.0,116
44.0,118
45.0,119
46.0,123
47.0,123
48.0,127
49.0,130
50.0,134
51.0,135
52.0,138
53.0,143
54.0,148
55.0,150
56.0,153
57.0,158
58.0,162
59.0,164
60.0,165
61.0,168
62.0,170
63.0,173
64.0,176
65.0,181
66.0,181
67.0,181
68.0,185
69.0,186
70.0,189
71.0,191
72.0,192
73.0,195
74.0,199
75.0,202
76.0,208
77.0,212
78.0,216
79.0,216
80.0,219
81.0,223
82.0,225
83.0,229
84.0,230
85.0,233
86.0,234
87.0,235
88.0,236
89.0,238
90.0,242
91.0,246
92.0,248
93.0,249
94.0,254
95.0,254
96.0,256
97.0,260
98.0,260
99.0,265
100.0,267
101.0,273
102.0,276
103.0,276
104.0,278
105.0,280
106.0,283
107.0,285
108.0,285
109.0,286
110.0,291
111.0,293
112.0,295
113.0,295
114.0,299
115.0,302
116.0,303
117.0,303
118.0,305
119.0,306
120.0,307
121.0,307
122.0,308
123.0,309
124.0,310
125.0,312
126.0,313
127.0,313
128.0,314
129.0,314
130.0,317
131.0,317
132.0,317
133.0,318
134.0,319
135.0,320
136.0,323
137.0,325
138.0,326
139.0,328
140.0,329
141.0,331
142.0,332
143.0,334
144.0,335
145.0,335
146.0,335
147.0,337
148.0,337
149.0,338
150.0,338
151.0,339
152.0,339
153.0,339
154.0,339
155.0,340
156.0,341
157.0,341
158.0,341
159.0,341
160.0,341
161.0,342
162.0,344
163.0,345
164.0,345
165.0,347
166.0,350
167.0,350
168.0,353
169.0,354
170.0,357
171.0,360
172.0,362
173.0,364
174.0,367
175.0,369
176.0,372
177.0,376
178.0,376
179.0,378
180.0,378
181.0,379
182.0,380
183.0,381
184.0,381
185.0,384
186.0,385
187.0,386
188.0,387
189.0,389
190.0,389
191.0,391
192.0,391
193.0,393
194.0,396
195.0,397
196.0,398
197.0,400
198.0,404
199.0,408
200.0,410
201.0,412
202.0,415
203.0,418
204.0,420
205.0,421
206.0,423
207.0,423
208.0,425
209.0,425
210.0,426
211.0,427
212.0,428
213.0,431
214.0,433
215.0,434
216.0,434
217.0,435
218.0,437
219.0,437
220.0,437
221.0,437
222.0,437
223.0,437
224.0,438
225.0,438
226.0,438
227.0,439
228.0,441
229.0,442
230.0,443
231.0,444
232.0,445
233.0,447
234.0,448
235.0,448
236.0,450
237.0,450
238.0,452
239.0,452
240.0,452
241.0,455
242.0,455
243.0,456
244.0,457
245.0,459
246.0,459
247.0,460
248.0,461
249.0,462
250.0,464
251.0,466
252.0,466
253.0,468
254.0,469
255.0,470
256.0,471
257.0,474
258.0,475
259.0,477
260.0,477
261.0,480
262.0,483
263.0,484
264.0,486
265.0,487
266.0,488
267.0,488
268.0,489
269.0,489
270.0,492
271.0,492
272.0,492
273.0,493
274.0,495
275.0,496
276.0,496
277.0,497
278.0,497
279.0,498
280.0,500
281.0,502
282.0,505
283.0,506
284.0,506
285.0,509
286.0,510
287.0,510
288.0,511
289.0,512
290.0,514
291.0,514
292.0,516
293.0,519
294.0,520
295.0,522
296.0,522
297.0,523
298.0,524
299.0,526
300.0,526
301.0,527
302.0,529
303.0,529
304.0,530
305.0,530
306.0,532
307.0,532
308.0,535
309.0,536
310.0,538
311.0,538
312.0,539
313.0,539
314.0,539
315.0,539
316.0,541
317.0,541
318.0,542
319.0,543
320.0,544
321.0,546
322.0,546
323.0,547
324.0,547
325.0,550
326.0,554
327.0,555
328.0,557
329.0,558
330.0,560
331.0,561
332.0,562
333.0,563
334.0,563
335.0,563
336.0,564
337.0,565
338.0,566
339.0,566
340.0,567
341.0,568
342.0,569
343.0,569
344.0,569
345.0,570
346.0,570
347.0,570
348.0,572
349.0,572
350.0,572
351.0,572
352.0,572
353.0,572
354.0,573
355.0,573
356.0,574
