"Tick","C"
1.0,4
2.0,13
3.0,23
4.0,33
5.0,43
6.0,54
7.0,64
8.0,71
9.0,78
10.0,86
11.0,93
12.0,100
13.0,109
14.0,117
15.0,124
16.0,135
17.0,147
18.0,153
19.0,159
20.0,171
21.0,183
22.0,191
23.0,200
24.0,210
25.0,216
26.0,222
27.0,233
28.0,244
29.0,255
30.0,265
31.0,274
32.0,281
33.0,291
34.0,301
35.0,308
36.0,318
37.0,327
38.0,337
39.0,344
40.0,350
41.0,357
42.0,365
43.0,376
44.0,379
45.0,384
46.0,388
47.0,394
48.0,403
49.0,410
50.0,417
51.0,424
52.0,433
53.0,440
54.0,445
55.0,449
56.0,458
57.0,464
58.0,469
59.0,481
60.0,488
61.0,493
62.0,499
63.0,505
64.0,509
65.0,513
66.0,520
67.0,526
68.0,535
69.0,544
70.0,551
71.0,561
72.0,568
73.0,577
74.0,585
75.0,590
76.0,598
77.0,605
78.0,612
79.0,619
80.0,625
81.0,631
82.0,638
