"timestamp","Fr","Pr"
1.0,0,0
2.0,0,0
3.0,0,0
4.0,0,0
5.0,0,0
6.0,0,0
7.0,0,0
8.0,0,0
9.0,0,0
10.0,0,0
11.0,0,0
12.0,0,0
13.0,0,0
14.0,0,0
15.0,0,0
16.0,0,0
17.0,0,0
18.0,0,0
19.0,0,0
20.0,0,0
21.0,0,0
22.0,0,0
23.0,0,0
24.0,0,0
25.0,0,0
26.0,0,0
27.0,0,0
28.0,0,0
29.0,0,0
30.0,0,0
31.0,0,0
32.0,0,0
33.0,0,0
34.0,0,0
35.0,0,0
36.0,0,0
37.0,0,0
38.0,0,0
39.0,0,0
40.0,0,0
41.0,0,0
42.0,0,0
43.0,0,0
44.0,0,0
45.0,0,0
46.0,0,0
47.0,0,0
48.0,0,0
49.0,0,0
50.0,0,0
51.0,0,0
52.0,0,0
53.0,0,0
54.0,0,0
55.0,0,0
56.0,0,0
57.0,0,0
58.0,0,0
59.0,0,0
60.0,0,0
61.0,0,0
62.0,0,0
63.0,0,0
64.0,0,0
65.0,0,0
66.0,0,0
67.0,0,0
68.0,0,0
69.0,0,0
70.0,0,0
71.0,0,0
72.0,0,0
73.0,0,0
74.0,0,0
75.0,0,0
76.0,0,0
77.0,0,0
78.0,0,0
79.0,0,0
80.0,0,0
81.0,0,0
82.0,0,0
83.0,0,0
84.0,0,0
85.0,0,0
86.0,0,0
87.0,0,0
88.0,0,0
89.0,0,0
90.0,0,0
91.0,0,0
92.0,0,0
93.0,0,0
94.0,0,0
95.0,0,0
96.0,0,0
97.0,0,0
98.0,0,0
99.0,0,0
100.0,0,100
101.0,100,92
102.0,100,90
103.0,100,88
104.0,100,86
105.0,100,85
106.0,100,83
107.0,100,82
108.0,100,81
109.0,100,80
110.0,100,79
111.0,100,78
112.0,100,78
113.0,100,74
114.0,100,72
115.0,100,70
116.0,100,70
117.0,100,69
118.0,100,68
119.0,100,66
120.0,100,64
121.0,100,63
122.0,100,62
123.0,100,62
124.0,100,62
125.0,100,60
126.0,100,58
127.0,100,58
128.0,100,58
129.0,100,58
130.0,100,58
131.0,100,55
132.0,100,53
133.0,100,51
134.0,100,50
135.0,100,48
136.0,100,47
137.0,100,47
138.0,100,44
139.0,100,44
140.0,100,42
141.0,100,41
142.0,100,41
143.0,100,39
144.0,100,39
145.0,100,39
146.0,100,38
147.0,100,35
148.0,100,33
149.0,100,33
150.0,100,33
151.0,100,33
152.0,100,33
153.0,100,33
154.0,100,33
155.0,100,33
156.0,100,33
157.0,100,33
158.0,100,33
159.0,100,33
160.0,100,33
161.0,100,33
162.0,100,33
163.0,100,32
164.0,100,32
165.0,100,32
166.0,100,32
167.0,100,32
168.0,100,40
169.0,100,32
170.0,100,32
171.0,100,32
172.0,100,32
173.0,100,32
174.0,100,32
175.0,100,32
176.0,100,32
177.0,100,32
178.0,100,32
179.0,100,32
180.0,100,32
181.0,100,32
182.0,100,32
183.0,100,32
184.0,100,32
185.0,100,32
186.0,100,32
187.0,100,32
188.0,100,32
189.0,100,32
190.0,100,32
191.0,100,32
192.0,100,32
193.0,100,32
194.0,100,32
195.0,100,32
196.0,100,32
197.0,100,32
198.0,100,32
199.0,100,32
200.0,100,32
201.0,100,32
202.0,100,32
203.0,100,32
204.0,100,32
205.0,100,32
206.0,100,32
207.0,100,32
208.0,100,32
209.0,100,32
210.0,100,32
211.0,100,32
212.0,100,38
213.0,100,38
214.0,100,34
215.0,100,34
216.0,100,34
217.0,100,34
218.0,100,34
219.0,100,34
220.0,100,49
221.0,100,49
222.0,100,49
223.0,100,49
224.0,100,57
225.0,100,60
226.0,100,60
227.0,100,60
228.0,100,60
229.0,100,60
230.0,100,60
231.0,100,60
232.0,100,34
233.0,100,34
234.0,100,34
235.0,100,32
236.0,100,32
237.0,100,32
238.0,100,32
239.0,100,32
240.0,100,32
241.0,100,32
242.0,100,32
243.0,100,32
244.0,100,32
245.0,100,32
246.0,100,32
247.0,100,32
248.0,100,32
249.0,100,32
250.0,100,32
251.0,100,32
252.0,100,32
253.0,100,61
254.0,100,61
255.0,100,32
256.0,100,32
257.0,100,32
258.0,100,32
259.0,100,32
260.0,100,32
261.0,100,32
262.0,100,32
263.0,100,32
264.0,100,32
265.0,100,32
266.0,100,32
267.0,100,32
268.0,100,32
269.0,100,32
270.0,100,32
271.0,100,32
272.0,100,32
273.0,100,32
274.0,100,32
275.0,100,32
276.0,100,32
277.0,100,32
278.0,100,32
279.0,100,32
280.0,100,32
281.0,100,32
282.0,100,32
283.0,100,32
284.0,100,32
285.0,100,32
286.0,100,32
287.0,100,32
288.0,100,32
289.0,100,32
290.0,100,32
291.0,100,32
292.0,100,32
293.0,100,32
294.0,100,32
295.0,100,32
296.0,100,32
297.0,100,32
298.0,100,32
299.0,100,32
300.0,100,32
301.0,100,32
302.0,100,32
303.0,100,32
304.0,100,32
305.0,100,32
306.0,100,32
